"과학고·특성화고 에듀테크 활용사례 DB (2023.1~2026.7, 웹 공개자료 기반)",,,,,,,,,,,
,,,,,,,,,,,
연번,학교명,학교유형,지역,제품/서비스명,제품 카테고리,활용 시기,활용 내용,출처 유형,출처 URL,신뢰도,비고
282,경북생활과학고등학교,특성화고,경북 경주,취업정보시스템(AI면접기),AI 취업 시스템,2023.3,나라장터 계약정보 API — AI면접기 1.05억,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
283,신라공업고등학교,특성화고,경북 경주,"AI면접기, 인문학적 감성교육 SW",AI 취업 시스템,2023(2건),"나라장터 계약정보 API — AI면접기 1.05억(2023.3)·감성교육 기자재·SW 4,980만(2023.2)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
284,상지여자상업고등학교,특성화고,경북 포항,AI면접 시스템,AI 취업 시스템,2023.1,"나라장터 계약정보 API — AI면접 시스템 구축 7,000만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
285,포항여자전자고등학교,특성화고,경북 포항,취업정보시스템(AI면접기),AI 취업 시스템,2023.2,"나라장터 계약정보 API — AI면접기 6,400만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
286,효청보건고등학교,특성화고,경북 경주,AI면접기,AI 취업 시스템,2023.2,"나라장터 계약정보 API — AI면접기 7,000만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
287,상주공업고등학교,특성화고,경북 상주,비대면채용솔루션(AI면접기),AI 취업 시스템,2023.2,"나라장터 계약정보 API — AI면접기 3,500만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
288,춘천기계공업고등학교,특성화고,강원 춘천,"AI자율주행·로봇제어 시스템, AI제조공정 시스템, 3D CAD·CNC 시뮬레이션(공동실습소)",AI 장비·전공 SW(대형),2023(4건),"나라장터 계약정보 API — AI자율주행·로봇제어 2.49억(2023.10)·AI제조공정 1.82억(2023.9)·3D CAD 3,251만·기계과 CNC시뮬 3,251만(2023)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
289,한국생명과학고등학교,특성화고,경북 안동,스마트팜 딸기 모의재배 SW,전공 특화 SW,2023(2건),"나라장터 계약정보 API — 스마트팜 딸기 모의재배 SW 2,000만(7월·10월 각 1건)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
290,대구과학기술고등학교,특성화고,대구,"AI 기초코딩 실습장비, Adobe",AI 교구·그래픽 SW,2023(2건),"나라장터 계약정보 API — 스마트전기과 AI기초코딩 장비 1,315만(2023.11)·Adobe 506만(2023.3)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
291,오산정보고등학교,특성화고,경기 오산,"넷클래스(Net-Class), Adobe, MS OVS-ES",실습실 관리·기본 SW,2023~2024(3건),나라장터 계약정보 API — 넷클래스 연간 220만(2023.11)·Adobe 162만(2023.12)·OVS-ES 655만(2024.6),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
292,현대공업고등학교,특성화고,울산,정밀기계과 소프트웨어,전공 특화 SW,2023.11,"나라장터 계약정보 API — 정밀기계과 SW 5,607만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
293,발안바이오과학고등학교,특성화고,경기 화성,"컴퓨터 그래픽 SW, MS제품군",그래픽·기본 SW,2023~2024(2건),나라장터 계약정보 API — 그래픽 SW 218만(2023.11)·MS 385만(2024.5),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
294,삼천포공업고등학교,특성화고,경남 사천,"항공전기과 SW, 항공산업과 시뮬레이션 SW",전공 특화 SW,2023.12~2024.1,"나라장터 계약정보 API — 항공전기과 SW 8,820만(2023.12)·항공산업과 시뮬레이션 SW 3,234만(2024.1)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
295,서울인공지능고등학교,특성화고,서울,군특사업 AI전자과 기자재,AI 학과 인프라,2023.12,"나라장터 계약정보 API — 군특 AI전자과 기자재 1,947만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
296,인천바이오과학고등학교,특성화고,인천,"그래픽 SW 외 3종, AI 자율운송 모바일로봇",그래픽 SW·AI 장비,2023(2건),"나라장터 계약정보 API — 스마트전자·자동화기계과 그래픽SW 외 5,760만(2023.12)·AI자율운송로봇 외 8,927만(2023.7)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
297,울산마이스터고등학교,마이스터고,울산,"정밀기계과 SW, CAM SW",전공 특화 SW,2023(2건),"나라장터 계약정보 API — 정밀기계과 SW 9,752만(2023.7)·CAM 1,920만(2023.2)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
298,부천공업고등학교,특성화고,경기 부천,"마이컴회로시뮬레이터, 교육용 SW 영구 라이선스",전공 특화 SW,2023(2건),"나라장터 계약정보 API — 마이컴회로시뮬레이터 3,146만·교육용 SW 영구 1,736만(2023.7~8)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
299,성일정보고등학교,특성화고,경기 성남,"SW·AI 교육강화사업 장비·SW, 실습실 관리 SW",AI 교육 인프라,2023(3건),나라장터 계약정보 API — SW.AI 교육장비 SW 사용 400만·임대 800만·실습실 관리 SW 300만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
300,전남기술과학고등학교,특성화고,전남 곡성,SolidCAM(도제),전공 특화 SW,2023.10,"나라장터 계약정보 API — 도제학교 SolidCAM 1,650만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
301,목포여자상업고등학교,특성화고,전남 목포,AI콘텐츠과 기자재,AI 학과 인프라,2023.9,나라장터 계약정보 API — AI콘텐츠과 기자재 1억 705만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
302,경북항공고등학교,특성화고,경북 영주,에듀테크 활용 이동식 모니터,에듀테크 인프라,2023.9,"나라장터 계약정보 API — 에듀테크 활용 이동식 모니터 1,980만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
303,목포공업고등학교,특성화고,전남 목포,CNC 시뮬레이션 SW,전공 특화 SW,2023.8,나라장터 계약정보 API — 스마트기계과 CNC시뮬 SW 950만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
304,인천과학고등학교,과학고,인천,AI융합실 구축(VR키트 외),AI 교육 인프라,2023.8,나라장터 계약정보 API — AI융합실 물품(VR키트 외 3종) 846만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
305,충북과학고등학교,과학고,충북 청주,Yennefer Labs(AI솔루션),AI 학습 플랫폼,2023.6,"나라장터 계약정보 API — Yennefer Labs 라이선스·유지보수 1,200만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
306,경기북과학고등학교,과학고,경기 의정부,"물리 시뮬레이션 SW, Adobe",연구·실습 SW,2023(2건),나라장터 계약정보 API — 물리 실험 시뮬레이션 SW 701만·Adobe 71만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
307,경북과학고등학교,과학고,경북 포항,밀리의 서재·리딩앤(디지털온 선도학교 독서 구독),독서 플랫폼 구독,2024(2건),"나라장터 계약정보 API — 밀리의서재 8개월 1,211만(2024.5)·리딩앤 738만(2024.1)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
308,경북과학기술고등학교,특성화고,경북 영천,IOT전자과 전자회로설계 SW,전공 특화 SW,2024.4,"나라장터 계약정보 API — 전자회로설계 SW 3,365만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
309,아산스마트팩토리마이스터고등학교,마이스터고,충남 아산,스마트팩토리 교육과정 SW,전공 특화 SW,2024.5,"나라장터 계약정보 API — 스마트팩토리 교육 SW 1,870만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
310,계산공업고등학교,특성화고,인천,3D CAD 소프트웨어,전공 특화 SW,2024.6,"나라장터 계약정보 API — 3D CAD SW 3,234만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
311,부산항공고등학교,특성화고,부산,CATIA V5(기계전공동아리),전공 특화 SW,2024.7,"나라장터 계약정보 API — CATIA V5 1,606만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
312,문경공업고등학교,특성화고,경북 문경,"NCS 응용 SW, 3D CAD",전공 특화 SW,2024(2건),"나라장터 계약정보 API — NCS 응용SW 2,503만(2024.7)·IT전자과 3D CAD 3,554만(2024.1)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
313,경성전자고등학교,특성화고,부산,AI자율주행 실험장치(IoT 전기부),AI 교구,2024.9,"나라장터 계약정보 API — AI자율주행 실험장치 1,576만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
314,강남영상미디어고등학교,특성화고,인천,Adobe(교육용),그래픽 SW,2024.7,나라장터 계약정보 API — 교육용 Adobe 840만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
315,인천여자상업고등학교,특성화고,인천,Adobe 라이선스,그래픽 SW,2023~2024(2건),나라장터 계약정보 API — Adobe 506만(2023.6)·502만(2024.6),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
316,인천중앙여자상업고등학교,특성화고,인천,Adobe(학과재구조화 실습재료),그래픽 SW,2024.2,나라장터 계약정보 API — 재구조화 실습 SW(Adobe) 506만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
317,인천정보과학고등학교,특성화고,인천,Adobe 라이선스,그래픽 SW,2023.4,나라장터 계약정보 API — Adobe 1년 506만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
318,인천기계공업고등학교,특성화고,인천,"기자재 SW, 건축·도시건설 SW 임대",전공 특화 SW,2023~2024(3건),"나라장터 계약정보 API — 상반기 SW 3,900만(2023.6)·건축디자인·도시건설정보과 SW 임대 597만(2023)·596만(2024) — 기존 Adobe 4,884만과 별건",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
319,전북기계공업고등학교,특성화고,전북 익산,교육용 소프트웨어 2종,전공 특화 SW,2023.6,"나라장터 계약정보 API — 교육용 SW 2종 6,252만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
320,대전전자디자인고등학교,특성화고,대전,"AI 로봇 실습실, AI로봇 바리스타 시스템",AI 실습장비(대형),2023.6(2건),"나라장터 계약정보 API — 스마트기계과 AI로봇실습실 1.49억·AI로봇 바리스타 9,350만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
321,성보경영고등학교,특성화고,경기 시흥,응용·업무용 소프트웨어,기본 SW,2023~2024(3건),"나라장터 계약정보 API — SW 1,129만·710만(2024.5)·1,020만(2023.5)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
322,하남경영고등학교,특성화고,경기 하남,실습실 소프트웨어,기본 SW,2023.4,나라장터 계약정보 API — 실습실 SW 531만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
323,분당경영고등학교,특성화고,경기 성남,"Adobe STO·MS Office, NCS 응용 SW",기본 SW,2023~2024(3건),나라장터 계약정보 API — Adobe STO 825만(2024.7)·MS 741만(2024.6)·NCS 응용SW 577만(2023.6),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
324,미림여자정보과학고등학교,특성화고,서울,Adobe 소프트웨어,그래픽 SW,2023.6,나라장터 계약정보 API — Adobe 사용 546만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
325,군자디지털과학고등학교,특성화고,경기 시흥,Adobe·Microsoft365,기본 SW,2023.6,"나라장터 계약정보 API — Adobe+MS365 1,040만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
326,한국관광고등학교,특성화고,경기 이천,Adobe 소프트웨어,그래픽 SW,2023.6,나라장터 계약정보 API — Adobe 152만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
327,성남금융고등학교,특성화고,경기 성남,Adobe 소프트웨어,그래픽 SW,2023.1,나라장터 계약정보 API — Adobe 757만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
328,경기경영고등학교,특성화고,경기 광주,Adobe·MS OVS-ES(연장),기본 SW,2023~2024(4건),나라장터 계약정보 API — Adobe 890만+MS 501만(2024.6)·Adobe CCT 840만(2023.6) — 기존 ChatGPT 409만과 별건,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
329,안산공업고등학교,특성화고,경기 안산,"V-AMT(가상 기계가공), Adobe, 클라우드 SW",전공 특화 SW,2023~2024(5건),"나라장터 계약정보 API — V-AMT 2,640만+SW 450만(2023.6)·Adobe 3건 계 2,043만(2024.6)·클라우드SW 외 1,968만(2024.1)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
330,두원공업고등학교,특성화고,경기 안성,MS OVS-ES,기본 SW,2024.6,나라장터 계약정보 API — MS 정품 500만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
331,양평전자과학고등학교,특성화고,경기 양평,"MS 라이선스, 전기제어과 SW",기본 SW,2023~2024(2건),나라장터 계약정보 API — MS 연간 318만(2024.6)·전기제어과 SW 114만(2024.2),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
332,영천전자고등학교,특성화고,경북 영천,취업정보시스템(AI면접기),AI 취업 시스템,2023.2~3(2건),"나라장터 계약정보 API — AI면접기 6,650만·6,199만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
333,구미정보고등학교,특성화고,경북 구미,취업정보시스템(AI면접기),AI 취업 시스템,2023.2,"나라장터 계약정보 API — AI면접기 6,400만 — 기존 타입캐스트와 별건",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
334,평택마이스터고등학교,마이스터고,경기 평택,NCS 응용 소프트웨어,전공 특화 SW,2023.1,"나라장터 계약정보 API — NCS 응용SW 1,265만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
335,공주마이스터고등학교,마이스터고,충남 공주,OrCAD(전기전자부),전공 특화 SW,2023.2,"나라장터 계약정보 API — orCAD 4,508만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
336,동명공업고등학교,특성화고,부산,G-CNC(스마트기계과),전공 특화 SW,2023.2(2건),"나라장터 계약정보 API — G-CNC 1,646만·1,628만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
337,태백기계공업고등학교,특성화고,강원 태백,"교육용 AI 학습서버 외, Flight Trainer(항공정비)",AI 인프라·전공 장비(대형),2023~2024(2건),나라장터 계약정보 API — 항공정비시스템과 AI학습서버 외 9종 2.94억(2024.2)·Flight Trainer 1.38억(2023.2),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
338,마산공업고등학교,특성화고,경남 창원,"로봇설계 SW, 공유압 가상 시뮬레이션, 스마트팩토리 SW, 도제 SW",전공 특화 SW(대형),2023~2024(5건),"나라장터 계약정보 API — 로봇설계SW 6,711만·6,732만(2024.1~2)·공유압 가상시뮬 2,795만(2024.2)·스마트팩토리 SW 8,313만(2023.2)·도제 SW 1,615만(2023.2)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
339,이리공업고등학교,특성화고,전북 익산,AI방역로봇 외(공동실습소),AI 장비,2023.2,"나라장터 계약정보 API — AI방역로봇 외 4,575만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
340,평촌공업고등학교,특성화고,경기 안양,공압 시뮬레이션 SW,전공 특화 SW,2023.2,"나라장터 계약정보 API — 공압 시뮬 SW 2,590만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
341,경상공업고등학교,특성화고,대구,CAM·공압 시뮬레이션 SW,전공 특화 SW,2024.1(3건),"나라장터 계약정보 API — CAM 2,228만·공압시뮬 3,718만·4,648만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
342,홍성공업고등학교,특성화고,충남 홍성,3D 전용 소프트웨어,전공 특화 SW,2024.2,"나라장터 계약정보 API — 기계과 3D SW 2,347만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
343,충북반도체고등학교,마이스터고,충북 음성,XR장비·반도체공정 프로그램,전공 특화 SW,2024.2,"나라장터 계약정보 API — XR장비+반도체공정 SW 9,739만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
344,광운인공지능고등학교,특성화고,서울,도제 인공지능소프트웨어과 교육훈련장비·SW,AI 학과 인프라,2024(2건),"나라장터 계약정보 API — 도제 AI소프트웨어과 장비 3,135만(2024.1)·인공지능전기과 SW 2,832만(2024.12)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
345,부산자동차고등학교,특성화고,부산,CAM 소프트웨어(NCS 부품가공),전공 특화 SW,2024.2,"나라장터 계약정보 API — CAM SW 1,956만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
346,영남공업고등학교,특성화고,대구,CAM 소프트웨어,전공 특화 SW,2024.2,"나라장터 계약정보 API — CAM SW 2,100만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
347,여수해양과학고등학교,특성화고,전남 여수,AI교실 물품(전자),AI 교육 인프라,2024.3,"나라장터 계약정보 API — AI교실 물품 8,789만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
348,공주생명과학고등학교,특성화고,충남 공주,굴삭기 운전훈련 시뮬레이터 외(AI실),전공 시뮬레이터,2023.2,"나라장터 계약정보 API — AI실 굴삭기 시뮬레이터 외 2종 8,450만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
349,예산전자공업고등학교,특성화고,충남 예산,AI실·체험실 교구,AI 교구,2023.2,"나라장터 계약정보 API — AI실 및 체험실 교구 1,321만",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
350,순천전자고등학교,특성화고,전남 순천,AI(인공지능)교실 기자재,AI 교육 인프라,2023.1,나라장터 계약정보 API — AI교실 기자재 1억 900만,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
351,광주자동화설비공업고등학교,특성화고,광주,스마트 전기기계 실습 시스템,전공 실습장비,2023.1,나라장터 계약정보 API — Smart Electromechanical Training System 외 1.76억,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
352,논산공업고등학교,특성화고,충남 논산,AI 교육실습실 기자재,AI 교육 인프라,2023.3,나라장터 계약정보 API — AI 교육실습실 기자재 1.16억,나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
353,광주소프트웨어마이스터고등학교,마이스터고,광주,"AI머신러닝 SW, AI물체인식·AI AMR·AI모빌리티·AI협업로봇·AI드론제어 실습장비",AI SW·실습장비(대형),2023~2024(6건),"나라장터 계약정보 API — AI머신러닝 SW 8,037만(2023.10)·AI물체인식 외 1.69억(2023.1)·AI AMR 1.57억(2024.1)·AI모빌리티 6,430만·AI협업로봇 7,020만(2023.12)·AI드론제어 1,755만(2023.9)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
354,동일미래과학고등학교,특성화고,광주,"AI팩토리 미래교실, V-AMT, AIDT(공통수학), AI 거점학교 인프라",AI 교실·AIDT,2023~2025(6건),"나라장터 계약정보 API — AIDT 578만(2025)·AI팩토리 미래교실 9,100만·AI미래교실 2,123만·태블릿 2,705만(2023)·V-AMT SW 3,610만(2023.3)·AI선도학교 레고 교구 700만(2023.10)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 야간 OpenAPI 수집
355,대구소프트웨어마이스터고등학교,마이스터고,대구,"뉴로우-S(AI역량검사 플랫폼), 클라우드 협업 플랫폼·AI 서비스",AI 취업역량 검사·협업 플랫폼,2026(2건),"나라장터 계약정보 API — AI역량검사+뉴로우-S 플랫폼 위탁(1,980만)·교육용 클라우드 협업 플랫폼 및 AI 서비스(1,700만)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집(2026Q1~Q2 용역)
356,대구반도체마이스터고등학교,마이스터고,대구,뉴로우-S·AI역량검사(연구학교 연계),AI 취업역량 검사,2025.4~2026(2건),"나라장터 계약정보 API — AI역량검사 운영 용역(1,500만, 2025.4)·연구학교 뉴로우S+AI역량검사 프로그램(2026)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
357,동일미래과학고등학교,특성화고,광주,"윌라(AI코스웨어, 디지털 선도학교)",AI 코스웨어 구독,2026,나라장터 계약정보 API — 디지털 선도학교 에듀테크 AI코스웨어 윌라 구독(480.24만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
358,충남과학고등학교,과학고,충남 공주,카피킬러 스쿨(무하유),표절검사·연구윤리 SW,2026,나라장터 계약정보 API — 카피킬러스쿨 연간 구독권(330만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집 — 과학고 카피킬러 11개교째
359,한국디지털미디어고등학교,특성화고,경기 안산,청소년 비즈쿨 플랫폼(운영·유지보수),교육 플랫폼 운영,2026,"나라장터 계약정보 API — 비즈쿨 플랫폼 운영 유지보수(1,200만)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
360,천안여자상업고등학교,특성화고,충남 천안,SAP ERP 플랫폼(전문가 양성 교육과정),ERP 실습 플랫폼(대형),2026(2건),"나라장터 계약정보 API — SAP ERP 플랫폼 전문가 양성 교육과정·연수·프로그램 개발 2건(5억 3,295만)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집 — 상업계 ERP 플랫폼 기반 대형 인력양성
361,하남경영고등학교,특성화고,경기 하남,클립스튜디오(서비스디자인과),창작·디자인 SW,2025.12,"나라장터 계약정보 API — 서비스디자인과 클립스튜디오(1,041.91만)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
362,인천디자인고등학교,특성화고,인천,건축디자인과 SW 라이선스(제품명 미확인),전공 실습 SW,2026,나라장터 계약정보 API — 건축디자인과 기자재 SW 라이선스(907.5만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
363,평택마이스터고등학교,마이스터고,경기 평택,AI디지털 교육자료(AIDT) 사용료,AI 디지털교과서(AIDT),2025.2학기,"나라장터 계약정보 API — 2학기 AIDT 사용료(1,186.55만)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집 — AIDT 유상 구독 7개교째
364,울산상업고등학교,특성화고,울산,실습실 소프트웨어(제품명 미확인),전공 실습 SW,2026,"나라장터 계약정보 API — 실습실 SW 구입(1,056만)",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
365,군포e비즈니스고등학교,특성화고,경기 군포,Adobe(실습실 그래픽),창작·디자인 SW,2026,나라장터 계약정보 API — 실습실용 그래픽 어도비(884.07만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
366,광주과학고등학교,영재학교,광주,"물리과 전자기파 분석 SW, 유체 분석 SW",과학 전문 분석 SW,2025~2026(2건),"나라장터 계약정보 API — 물리과 유체 분석 SW(581.13만, 2025)·전자기파 분석 SW(880만, 2026) — 물리 연구 전문 SW 연속 투자",나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
367,경일관광경영고등학교,특성화고,경기 성남,AI세무회계과 교원 온라인 강좌·구글 워크스페이스 연수,AI 학과 교원 연수,2025~2026(2건),나라장터 계약정보 API — AI세무회계과 교원 역량강화 온라인 강좌(233.55만)·구글 워크스페이스 교사연수(157만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집 — AI 학과 재구조화 학교
368,수원농생명과학고등학교,특성화고,경기 수원,리로스쿨(연간 라이선스),학사관리 플랫폼,2026,나라장터 계약정보 API — 리로스쿨 연간 사용 라이선스(132만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
369,경기관광고등학교,특성화고,경기 여주,Adobe 프리미엄,창작·디자인 SW,2026,나라장터 계약정보 API — 어도비 프리미엄 사용 계약(352만),나라장터 계약정보 API,https://www.data.go.kr/data/15129427/openapi.do,상,2026.7.19 OpenAPI 수집
